,FALCON  ELECTRONICS,,,,,falconledlights@gmail,,,,,,,
,"E-12, RAMPURA, HARI NAGAR, (Opp.Mayapuri Police Station)",,,,,New Delhi-64,,PH:9810744974,,,,,
S No,CANDLE LIGHT,TYPE,SIZE,BASE,VOLTAGE,WATT,NO OF LED,COLOUR,PRICE IN Rs,,,,
1,,CNDL, mm  ,E-14/      E-27/       B-22,85-264V    AC,3W,HP       3x1W,RED/YELLOW/     BLUE/ GREEN/        WHITE/        WARM WHITE,250,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2,,CNDL, mm  ,E-14/      E-27/       B-22,85-264V    AC,3W,HP       3x1W,RED/YELLOW/     BLUE/ GREEN/        WHITE/        WARM WHITE,250,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3,,CNDL, mm  ,E-14/      E-27/       B-22,85-264V    AC,3W,HP       3x1W,RED/YELLOW/     BLUE/ GREEN/        WHITE/        WARM WHITE,250,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4,,CNDL, mm  ,E-14/      E-27/       B-22,85-264V    AC,3W,HP       3x1W,RED/YELLOW/     BLUE/ GREEN/        WHITE/        WARM WHITE,250,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5,,CNDL, mm  ,E-14,85-264V    AC,3W,SMD     5730    6No,WHITE /       4000K/                   WARM WHITE,250,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
6,,CNDL, mm  ,E-14,85-264V    AC,3W,SMD     5730    6No,WHITE /       4000K/                   WARM WHITE,250,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
7,,CNDL, mm  ,E-14,85-264V    AC,3W,SMD     5730    6No,WHITE /       4000K/                   WARM WHITE,250,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
8,,CNDL, mm  ,E-14/      E-27/       B-22,85-264V    AC,5W,SMD     5730    10No,WHITE /       4000K/                   WARM WHITE,375,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
9,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
10,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
11,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TERMS ,,,,,,,,,,,,
1,Taxes Extra as applicables,,,,,,,,,,,,
2,Prices are FOB DELHI,,,,,,,,,,,,
3,For 12 V DC Power supply Extra,,,,,,,,,,,,
